,darija,eng
2404,sti9ala,resignation
2405,isti9ala,resignation
2406,sti9aala,resignation
2407,ta9a3od,retirement
2408,ta9aa3od,retirement
2409,mdkhoul,income
2410,medkhoul,income
2411,mad5oul,income
2412,med5ol,income
2413,mchro3,project
2414,machrou3,project
2415,mchrou3,project
2416,mechrou3,project
2417,tterwa,wealth
2418,ttrwa,wealth
2419,ttarwa,wealth
2420,Talab,application
2421,mblagh,amount
2422,meblegh,amount
2423,mblegh,amount
2424,mablagh,amount
2425,soyoula,liquidity
2426,soyola,liquidity
2427,souyoula,liquidity
2428,iflass,bankruptcy
2429,rob3,quarter
2430,rbe3,quarter
2431,rb3,quarter
2432,sanadat,bonds
2433,ashom,shares
2434,lwert,inheritance
2435,lwart,inheritance
2436,lwrt,inheritance
2437,7anout,shop
2438,ma7al,shop
2439,sel3a,products
2440,sl3a,products
2441,clian,client
2442,klian,client
2443,siya7a,tourism
2444,stawred,import
2445,stewred,import
2446,stawrd,import
2447,stwrd,import
2448,Sader,export
2449,Seder,export
2450,Sadar,export
2451,Sdr,export
2452,tesbi9,deposit
2453,tasbi9,deposit
2454,tsbi9,deposit
2455,3ajz,deficit
2456,3ejz,deficit
2457,tanwi3,diversification
2458,tenwi3,diversification
2459,tadakhom,inflation
2460,fabour,free
2461,kridi,debt
2462,sl3a,goods
2463,sl3a,goods
2464,nkimash,deflation
2465,nkimach,deflation
2466,lfa2ida,interest
2467,lfayda,interest
2468,oustad,teacher
2469,ostad,teacher
2470,tlmid,student
2471,tilmid,student
2472,moudir,director
2473,modir,director
2474,3amid,dean
2475,aamid,dean
2476,sbbora,blackboard
2477,sabbora,blackboard
2478,sbora,blackboard
2479,Tabachir,chalk
2480,fizik,physics
2481,lfizik,physics
2482,tarikh,history
2483,ryaDiat,math
2484,riaDiat,math
2485,ryaDa,sport
2486,riaDa,sport
2487,joghrafia,geography
2488,drs,course
2489,ders,course
2490,dars,course
2491,mti7an,exam
2492,imti7an,exam
2493,mtihan,exam
2494,mti7ane,exam
2495,ktab,book
2496,kitab,book
2497,dftar,notebook
2498,deftar,notebook
2499,daftar,notebook
2500,btida2i,elementary
2501,t3lim,education
2502,ta3lim,education
2503,mdrasa,school
2504,medrasa,school
2505,madrassa,school
2506,medrassa,school
2507,9ism,class
2508,qism,class
2509,lafak,faculty
2510,lafac,faculty
2511,la fac,faculty
2512,lkollia,faculty
2513,i3dadi,middle school
2514,tanawi,high school
2515,tanaoui,high school
2516,jami3a,university
2517,ljami3a,university
2518,diplom,diploma
2519,diplome,diploma
2520,idara,administration
2521,lidara,administration
2522,Tawila,bench
2523,flsafa,philosophy
2524,falsafa,philosophy
2525,felsafa,philosophy
2526,mawad,subjects
2527,3ilm,science
2528,logha,language
2529,lougha,language
2530,adab,literature
2531,3oloum,sciences
2532,3ouloum,sciences
2533,3olom,sciences
2534,ktba,writing
2535,kitaba,writing
2536,ktaba,writing
2537,jabr,algebra
2538,8ndasa,geometry
2539,handasa,geometry
2540,8andasa,geometry
2541,hndasa,geometry
2542,l7sab,computing
2543,7sab,computing
2544,hsab,computing
2545,chimi,chemistry
2546,stilo,pen
2547,stylo,pen
2548,misTara,ruler
2549,chkara,bag
2550,9alam,pencil
2551,qalam,pencil
2552,mim7at,eraser
2553,mimhat,eraser
2554,3oTla,holiday
2555,ta9afa,culture
2556,taqafa,culture
2557,7iSSa,session
2558,7iSa,session
2559,hiSSa,session
2560,Sf7a,page
2561,Saf7a,page
2562,Sef7a,page
2563,wr9a,paper
2564,wer9a,paper
2565,war9a,paper
2566,warqa,paper
2567,b7t,research
2568,ba7t,research
2569,be7t,research
2570,sou2al,question
2571,soual,question
2572,ce2al,question
2573,sa2al,question
2574,jawab,answer
2575,fikra,idea
2576,7sab,count
2577,7ssab,count
2578,Tol,length
2579,Toul,length
2580,3rD,width
2581,3arD,width
2582,3erD,width
2583,rtifa3,hight
2584,irtifa3,hight
2585,3lo,hight
2586,3low,hight
2587,moDo3,topic
2588,mowDo3,topic
2589,mawDou3,topic
2590,mowDou3,topic
2591,da2ira,circle
2592,dwwara,circle
2593,7rf,letter
2594,7arf,letter
2595,7erf,letter
2596,klma,word
2597,kalma,word
2598,kelma,word
2599,jomla,phrase
2600,joumla,phrase
2601,faSila,comma
2602,tjriba,experience
2603,tajriba,experience
2604,tejriba,experience
2605,kotla,mass
2606,7ajm,volume
2607,khaTa2,wrong
2608,5aTa2,wrong
2609,Sa7i7,right
2610,Sahih,right
2611,m9S,scissors
2612,m9aSS,scissors
2613,m9eSS,scissors
2614,m9as,scissors
2615,rawD,kindergarten
2616,raouD,kindergarten
2617,takhSSoS,specialization
2618,ta5SSoS,specialization
2619,takhaSSoS,specialization
2620,ta5aSSoS,specialization
2621,ni9ach,discussion
2622,niqach,discussion
2623,t7lil,analysis
2624,te7lil,analysis
2625,ta7lil,analysis
2626,tahlil,analysis
2627,tmrin,exercise
2628,tamrin,exercise
2629,temrin,exercise
2630,min7a,scholarship
2631,minha,scholarship
2632,ghyab,absence
2633,ghiab,absence
2634,7oDor,presence
2635,7oDour,presence
2636,hoDour,presence
2637,za2id,plus
2638,na9iS,minus
2639,naqis,minus
2640,mDroub,times
2641,m9soum,divided
2642,me9soum,divided
2643,m9som,divided
2644,ma9soum,divided
2645,mo3adala,equation
2646,kasr,fraction
2647,chakl,shape
2648,zawyya,angle
2649,zawia,angle
2650,zawya,angle
2651,Tibb,medicine
2652,7aDana,nursery school
2653,ddirasat l3olya,higher education
2654,ddirasat l3olia,higher education
2655,ma38ad,institute
2656,me38ed,institute
2657,ma3had,institute
2658,m3hed,institute
2659,bac,baccalaureate
2660,lbac,baccalaureate
2661,ma9al,essay
2662,ma9aal,essay
2663,ma9al,article
2664,ma9aal,article
2665,sellan,absence
2666,sllan,absence
2667,9ala9,worry
2668,t9li9a,worry
2669,qalaq,worry
2670,tbrziT,annoyance
2671,tberziT,annoyance
2672,tbarziT,annoyance
2673,ghaDab,anger
2674,nachaT,amusement
2675,nachaaT,amusement
2676,9oboul,acceptance
2677,9obol,acceptance
2678,qoboul,acceptance
2679,chaja3a,courage
2680,chajaa3a,courage
2681,ti9a,confidence
2682,tti9a,confidence
2683,malal,boredom
2684,lamobalat,apathy
2685,fDoul,curiosity
2686,fDol,curiosity
2687,ka2aaba,depression
2688,ka2aba,depression
2689,rghba,desire
2690,raghba,desire
2691,"reghba""""",desire
2692,tay3yef,disgusting
2693,chek,doubt
2694,chakk,doubt
2695,nchwa,ecstasy
2696,nechwa,ecstasy
2697,nachwa,ecstasy
2698,i7raj,embarrassment
2699,2ymane,faith
2700,imane,faith
2701,khouf,fear
2702,5ouf,fear
2703,khaouf,fear
2704,5aouf,fear
2705,i7baaT,frustration
2706,ta3aTof,empathy
2707,chokr,gratitude
2708,Tm3,greed
2709,Tama3,greed
2710,Tam3,greed
2711,Tma3,greed
2712,dnb,guilt
2713,denb,guilt
2714,danb,guilt
2715,7amas,enthusiasm
2716,hamas,enthusiasm
2717,sa3ada,happiness
2718,saaada,happiness
2719,karahia,hatred
2720,kara8ia,hatred
2721,kor8,hatred
2722,korh,hatred
2723,7asad,envy
2724,hasad,envy
2725,ch8wa,lust
2726,cha8wa,lust
2727,che8wa,lust
2728,chahwa,lust
2729,7obb,love
2730,hobb,love
2731,houb,love
2732,7oub,love
2733,wa7da,loneliness
2734,Drafat,kindness
2735,fara7,joy
2736,farah,joy
2737,ghira,jealousy
2738,ghyra,jealousy
2739,ghayra,jealousy
2740,dell,humiliation
2741,ddell,humiliation
2742,ro3b,horror
2743,amal,hope
2744,nnadam,remorse
2745,RRafD,rejection
2746,RafD,rejection
2747,nnadam,regret
2748,ghaDab,rage
2749,fakhr,pride
2750,fa5r,pride
2751,chafa9a,pity
2752,chafaqa,pity
2753,chaghaf,passion
2754,7anin,nostalgia
2755,hanin,nostalgia
2756,7chma,shyness
2757,7echma,shyness
2758,7achma,shyness
2759,hachma,shyness
2760,Sdma,shock
2761,Sadma,shock
2762,Sedma,shock
2763,3ar,shame
2764,3aar,shame
2765,7ozn,sadness
2766,hozn,sadness
2767,7ouzn,sadness
2768,houzn,sadness
2769,mo3anat,suffering
2770,mo3aanaat,suffering
2771,mofaja2a,surprise
2772,khl3a,fear
2773,khel3a,fear
2774,khal3a,fear
2775,5al3a,fear
2776,wswas,obsession
2777,waswass,obsession
2778,waswas,obsession
2779,f9sa,grief
2780,fa9sa,grief
2781,fe9sa,grief
2782,faqsa,grief
2783,Tomou7,ambition
2784,Tomo7,ambition
2785,i7sas,feeling
2786,ihsas,feeling
2787,cho3our,feeling
2788,cho3or,feeling
2789,3aTifa,emotion
2790,3aaTifa,emotion
2791,8awa2,air
2792,8wa,air
2793,8awa,air
2794,b7er,sea
2795,b7r,sea
2796,bhar,sea
2797,b7ar,sea
2798,arD,earth
2799,wad,river
2800,ouad,river
2801,chjra,tree
2802,chajra,tree
2803,chejra,tree
2804,baTo,ship
2805,talwwot,pollution
2806,talwot,pollution
2807,talwwout,pollution
2808,ma2,water
2809,ma,water
2810,lma,water
2811,gLaS,ice
2812,tlj,snow
2813,telj,snow
2814,talj,snow
2815,Tri9,street
2816,Triq,street
2817,Dbab,cloud
2818,Dbaba,cloud
2819,ghaba,forest
2820,jrda,parc
2821,jarda,parc
2822,jerda,parc
2823,choro9,sunrise
2824,chorou9,sunrise
2825,chorouq,sunrise
2826,ghorob,sunset
2827,ghoroub,sunset
2828,chmch,sun
2829,chamch,sun
2830,chemch,sun
2831,9amar,moon
2832,l9amar,moon
2833,qamar,moon
2834,mrrikh,mars
2835,marrikh,mars
2836,mari5,mars
2837,sma,sky
2838,ssma,sky
2839,jbl,mountain
2840,jbel,mountain
2841,jbal,mountain
2842,chta,rain
2843,rr3Da,thunder
2844,r3Da,thunder
2845,ra3Da,thunder
2846,lberd,cold
2847,brd,cold
2848,berd,cold
2849,lbard,cold
2850,ri7,wind
2851,ry7,wind
2852,rih,wind
2853,rri7,wind
2854,S8D,heat
2855,Sa8D,heat
2856,Se8D,heat
2857,SahD,heat
2858,ti9i9t,extreme heat
2859,ti99i9t,extreme heat
2860,chtwa,winter
2861,chetwa,winter
2862,chatwa,winter
2863,SSif,summer
2864,SSef,summer
2865,lkhrif,autumn
2866,khrif,autumn
2867,5rif,autumn
2868,rrbi3,spring
2869,rbi3,spring
2870,ljow,climate
2871,ljaw,climate
2872,ljw,climate
2873,zlal,earthquake
2874,znzal,earthquake
2875,zelzal,earthquake
2876,zalzal,earthquake
2877,borkan,volcano
2878,borkane,volcano
2879,fayaDan,flood
2880,joghrafia,geography
2881,joghrafya,geography
2882,T9s,weather
2883,Ta9s,weather
2884,mDbbeb,foggy
2885,mDabbab,foggy
2886,mDebbab,foggy
2887,mDebbeb,foggy
2888,skhoun,hot
2889,skhon,hot
2890,s5on,hot
2891,s5oun,hot
2892,mchmmch,sunny
2893,mchmmech,sunny
2894,mchemmach,sunny
2895,mchammach,sunny
2896,m3j3j,windy
2897,m3ej3ej,windy
2898,m3aj3aj,windy
2899,khcheb,wood
2900,5kheb,wood
2901,khchab,wood
2902,khchb,wood
2903,7did,iron
2904,hdid,iron
2905,7adid,iron
2906,jaj,glass
2907,jjaj,glass
2908,aliminiom,aluminum
2909,aliminyom,aluminum
2910,n7as,copper
2911,7jr,stone
2912,7jer,stone
2913,hjar,stone
2914,Sofa,wool
2915,SSofa,wool
2916,9Ten,cotton
2917,d8b,gold
2918,d8eb,gold
2919,dhab,gold
2920,dheb,gold
2921,jld,leather
2922,jeld,leather
2923,jild,leather
2924,nnilo,nylon
2925,nilou,nylon
2926,nilo,nylon
2927,rmla,sand
2928,remla,sand
2929,ramla,sand
2930,rremla,sand
2931,fDDa,silver
2932,faDDa,silver
2933,3afia,fire
2934,njma,star
2935,nejma,star
2936,najma,star
2937,mouja,wave
2938,mawja,wave
2939,mowja,wave
2940,mwja,wave
2941,khla,wild
2942,5la,wild
2943,7afa,edge
2944,7aafa,edge
2945,hafa,edge
2946,bo7ayra,lake
2947,bohayra,lake
2948,bo7aira,lake
2949,trab,soil
2950,Tabi3a,nature
2951,S7ra,desert
2952,Sahra,desert
2953,Sa7ra,desert
2954,chllal,waterfall
2955,chellal,waterfall
2956,challal,waterfall
2957,ghar,cave
2958,ghaar,cave
2959,wa7a,oasis
2960,waa7a,oasis
2961,rmad,ash
2962,rmaad,ash
2963,ramaad,ash
2964,ghis,mud
2965,ghiss,mud
2966,roTouba,humidity
2967,roToba,humidity
2968,i3Sar,hurricane
2969,i3Saar,hurricane
2970,kawn,universe
2971,3a2ila,family
2972,bnti,my daughter
2973,benti,my daughter
2974,banti,my daughter
2975,wldi,my son
2976,waldi,my son
2977,weldi,my son
2978,lwalid,father
2979,lwalida,mother
2980,baba,dad
2981,bba,dad
2982,mama,mom
2983,mmi,mom
2984,khouya,my brother
2985,5ouya,my brother
2986,khoya,my brother
2987,khti,my sister
2988,5ti,my sister
2989,3mi,my uncle
2990,aami,my uncle
2991,3mmi,my uncle
2992,3mti,my aunt
2993,aamti,my aunt
2994,3mmti,my aunt
2995,khali,my uncle
2996,5ali,my uncle
2997,khalti,my aunt
2998,5alti,my aunt
2999,kouzan,my cousin
3000,kozan,my cousin
3001,wld 3mi,my cousin
3002,wld aami,my cousin
3003,wld 3mmi,my cousin
3004,wld 3mti,my cousin
3005,wld aamti,my cousin
3006,wld 3mmti,my cousin
3007,wld khali,my cousin
3008,wld 5ali,my cousin
3009,wld khalti,my cousin
3010,wld 5alti,my cousin
3011,bnt 3mi,my cousin
3012,bnt aami,my cousin
3013,bnt 3mmi,my cousin
3014,bnt 3mti,my cousin
3015,bnt aamti,my cousin
3016,bnt 3mmti,my cousin
3017,bnt khali,my cousin
3018,bnt 5ali,my cousin
3019,bnt khalti,my cousin
3020,bnt 5alti,my cousin
3021,zawja,wife
3022,zzawja,wife
3023,lmra,wife
3024,lemra,wife
3025,lamra,wife
3026,zawj,husband
3027,zzawj,husband
3028,rrajl,husband
3029,arrajel,husband
3030,rrajal,husband
3031,mjwwj,married
3032,mzwwj,married
3033,mjawwej,married
3034,mjwwja,married
3035,mzwwja,married
3036,mjawweja,married
3037,3zri,single
3038,3azri,single
3039,3ezri,single
3040,ddrari,children
3041,drari,children
3042,khout,brothers
3043,5out,brothers
3044,khwatat,sisters
3045,5watat,sisters
3046,walidin,parents
3047,khwal,uncles
3048,5wal,uncles
3049,3mam,uncles
3050,a3mam,uncles
3051,7fid,grandchild
3052,hfid,grandchild
3053,7afid,grandchild
3054,jdd,grandfather
3055,jedd,grandfather
3056,jadd,grandfather
3057,jdda,grandmother
3058,jedda,grandmother
3059,jadda,grandmother
3060,nsab,family-in-law
3061,nsaab,family-in-law
3062,khDra,vegetables
3063,khoDra,vegetables
3064,5oDra,vegetables
3065,bsla,onion
3066,basla,onion
3067,besla,onion
3068,maticha,tomato
3069,matecha,tomato
3070,jelbana,pea
3071,jlbana,pea
3072,dnjal,eggplant
3073,denjal,eggplant
3074,gar3a,pumpkin
3075,gr3a,pumpkin
3076,mkowwr,cabbage
3077,mkowwer,cabbage
3078,mkowwar,cabbage
3079,btata,potato
3080,batata,potato
3081,khyar,cucumber
3082,khiar,cucumber
3083,5iar,cucumber
3084,5yar,cucumber
3085,khizo,carrot
3086,5izo,carrot
3087,touma,garlic
3088,ttouma,garlic
3089,chiflour,cauliflower
3090,chiflor,cauliflower
3091,9o9,artichokes
3092,9ou9,artichokes
3093,qoq,artichokes
3094,qouq,artichokes
3095,khrchouf,cardoon
3096,kherchouf,cardoon
3097,kharchof,cardoon
3098,khrchof,cardoon
3099,flfla,pepper
3100,felfla,pepper
3101,falfla,pepper
3102,fjl,radishes
3103,fjel,radishes
3104,loubia,beans
3105,lobia,beans
3106,loubya,beans
3107,bsbas,fennel
3108,besbas,fennel
3109,basbas,fennel
3110,khoss,lettuce
3111,khos,lettuce
3112,5oss,lettuce
3113,5os,lettuce
3114,lft,turnip
3115,left,turnip
3116,laft,turnip
3117,kbal,maize
3118,9zbour,coriander
3119,9azbour,coriander
3120,9ezbor,coriander
3121,9zbor,coriander
3122,m3dnous,parsley
3123,m3adnous,parsley
3124,m3ednous,parsley
3125,me3dnous,parsley
3126,zitoun,olives
3127,zitoune,olives
3128,barba,beet
3129,krafS,celery
3130,krafes,celery
3131,krafas,celery
3132,kourjiT,courgette
3133,korjiT,courgette
3134,khDra,vegetables
3135,khoDra,vegetables
3136,dissir,fruits
3137,ddissir,fruits
3138,ddisser,fruits
3139,disser,fruits
3140,tfa7,apple
3141,tfah,apple
3142,bou3ouid,pear
3143,bou3wid,pear
3144,bouaouid,pear
3145,friz,strawberry
3146,frez,strawberry
3147,avoka,avocado
3148,avoca,avocado
3149,lavoka,avocado
3150,3nb,grape
3151,3anb,grape
3152,3enb,grape
3153,krmous,fig
3154,karmous,fig
3155,kermous,fig
3156,limoun,orange
3157,limon,orange
3158,7amd,lemon
3159,hamd,lemon
3160,rman,pomegranate
3161,rmman,pomegranate
3162,reman,pomegranate
3163,dla7,watermelon
3164,dela7,watermelon
3165,dlah,watermelon
3166,delah,watermelon
3167,khoukh,peach
3168,kiwi,kiwi
3169,kioui,kiwi
3170,7blmlouk,cherry
3171,7eb lemlouk,cherry
3172,hab lamlouk,cherry
3173,heb lemlouk,cherry
3174,ananas,pineapple
3175,mnoun,melon
3176,swi8la,melon
3177,swihla,melon
3178,souihla,melon
3179,banan,banana
3180,banane,banana
3181,mchmach,apricot
3182,mechmach,apricot
3183,machmach,apricot
3184,mang,mango
3185,mangue,mango
3186,mandarine,mandarin orange
3187,mandarin,mandarin orange
3188,tmr,dates
3189,tmar,dates
3190,tmer,dates
3191,br9o9,plums
3192,ber9o9,plums
3193,br9ou9,plums
3194,ber9ou9,plums
3195,makla,food
3196,lmakla,food
3197,3ds,lenses
3198,l3ds,lenses
3199,loubia,beans
3200,nbg,jujube
3201,nbag,jujube
3202,nbeg,jujube
3203,nnbeg,jujube
3204,blloT,oak
3205,balloT,oak
3206,llouz,almonds
3207,louz,almonds
3208,n3na3,mint
3209,naanaa,mint
3210,ne3na3,mint
3211,na3na3,mint
3212,zbib,raisins
3213,zzbib,raisins
3214,biD,eggs
3215,bayD,eggs
3216,biDa,egg
3217,bayDa,egg
3218,zbda,butter
3219,zabda,butter
3220,zebda,butter
3221,khbz,bread
3222,khobz,bread
3223,5obz,bread
3224,mska,chewing gum
3225,maska,chewing gum
3226,meska,chewing gum
3227,skkar,sugar
3228,sokkar,sugar
3229,skar,sugar
3230,sokar,sugar
3231,ml7a,salt
3232,mel7a,salt
3233,mal7a,salt
3234,malha,salt
3235,zit,oil
3236,zzit,oil
3237,7mmS,chickpeas
3238,7ammaS,chickpeas
3239,7mmeS,chickpeas
3240,hammeS,chickpeas
3241,7rira,soup
3242,hrira,soup
3243,chlaDa,salad
3244,l7m,meat
3245,l7em,meat
3246,l7am,meat
3247,khmira,yeast
3248,5mira,yeast
3249,3jina,dough
3250,frmaj,cheese
3251,fromaj,cheese
3252,formaj,cheese
3253,ch3ria,pasta
3254,che3ria,pasta
3255,cha3ria,pasta
3256,disir,desserts
3257,dicir,desserts
3258,dissir,desserts
3259,laglas,ice cream
3260,laglass,ice cream
3261,kika,cake
3262,3Tria,spices
3263,3aTria,spices
3264,3Trya,spices
3265,3eTria,spices
3266,gm7,wheat
3267,gam7,wheat
3268,guem7,wheat
3269,9m7,wheat
3270,dgig,flour
3271,d9i9,flour
3272,ch3ir,barley
3273,9rfa,cinnamon
3274,9arfa,cinnamon
3275,9erfa,cinnamon
3276,qarfa,cinnamon
3277,kmmon,cumin
3278,kmmoun,cumin
3279,kammoun,cumin
3280,kemmon,cumin
3281,9ronfl,cloves
3282,9ronfel,cloves
3283,9ronfal,cloves
3284,z3fran,saffron
3285,z3efran,saffron
3286,z3afran,saffron
3287,z3tr,thyme
3288,ze3tr,thyme
3289,za3ter,thyme
3290,z3tar,thyme
3291,chrab,drink
3292,chchrab,alcohol
3293,birra,beer
3294,atay,tea
3295,7lib,milk
3296,7alib,milk
3297,hlib,milk
3298,3aSir,juice
3299,fTor,breakfast
3300,fTour,breakfast
3301,ghda,lunch
3302,3cha,dinner
3303,ma9adir,ingredients
3304,maqadir,ingredients
3305,jo3,hunger
3306,jou3,hunger
3307,3Tch,thirst
3308,3Tech,thirst
3309,3Tach,thirst
3310,rijim,diet
3311,cha8ia,appetite
3312,cha8iyya,appetite
3313,chahia,appetite
3314,mchwi,grilled
3315,mechwi,grilled
3316,machwi,grilled
3317,m9li,fried
3318,me9li,fried
3319,ma9li,fried
3320,m7mmr,roasted
3321,m7ammar,roasted
3322,m7emmer,roasted
3323,mgrml,crunchy
3324,mgermel,crunchy
3325,mgarmel,crunchy
3326,mgarmal,crunchy
3327,khDr,raw
3328,khDer,raw
3329,khDar,raw
3330,5Dr,raw
3331,bnin,delicious
3332,bnyn,delicious
3333,nachf,dry
3334,nachef,dry
3335,nachaf,dry
3336,7lo,sweet
3337,7lou,sweet
3338,7low,sweet
3339,7arr,spicy
3340,marr,bitter
3341,morr,bitter
3342,7amD,sour
3343,7ameD,sour
3344,7amaD,sour
3345,m7roug,burned
3346,m7rog,burned
3347,m7rog,burned
3348,m7ro9,burned
3349,lkhell,vinegar
3350,khell,vinegar
3351,5ell,vinegar
3352,bTaTa frit,french fries
3353,bTaTafrit,french fries
3354,s99aTa,candy
3355,mada9,flavor
3356,madaq,flavor
3357,rrwa7,influenza
3358,skkar,diabetes
3359,Sda3,ache
3360,7asasia,allergy
3361,hassasia,allergy
3362,7assasia,allergy
3363,DDi9a,asthma
3364,DDe9a,asthma
3365,tanffous,breathing
3366,tanffos,breathing
3367,tanaffos,breathing
3368,S7i7,healthy
3369,mriD,ill
3370,Tibb,medicine
3371,sbiTar,hospital
3372,labilanS,ambulance
3373,maraD,disease
3374,konSir,cancer
3375,mard khayb,cancer
3376,lmard lkhayb,cancer
3377,mard lkhayb,cancer
3378,taw77oud,autism
3379,taw77od,autism
3380,bouchwika,varicella
3381,bochwika,varicella
3382,ara9,insomnia
3383,ss8al,diarrhea
3384,SriSra,diarrhea
3385,jr7a,wound
3386,jr7,wound
3387,jer7a,wound
3388,jar7a,wound
3389,t9ya,vomit
3390,te9ya,vomit
3391,t9ia,vomit
3392,dwa,medication
3393,ddwa,medication
3394,ghrza,stitch
3395,ghorza,stitch
3396,gherza,stitch
3397,3kkaz,crutch
3398,3okkaz,crutch
3399,bnj,anesthetic
3400,benj,anesthetic
3401,lbnj,anesthetic
3402,lbenj,anesthetic
3403,tchri7,autopsy
3404,tachri7,autopsy
3405,S77a,health
3406,Si77a,health
3407,Sa77a,health
3408,alam,pain
3409,2alam,pain
3410,7ri9,pain
3411,3Tsa,sneeze
3412,3eTsa,sneeze
3413,3aTsa,sneeze
3414,k7ba,cough
3415,ka7ba,cough
3416,ke7ba,cough
3417,khalia,cell
3418,khaliya,cell
3419,5alia,cell
3420,5alyya,cell
3421,maraD mozmin,chronic disease
3422,maraD mo3di,contagious disease
3423,gzima,eczema
3424,lgzima,eczema
3425,SSr3,epilepsy
3426,SSara3,epilepsy
3427,Ta3oun,plague
3428,Ta3on,plague
3429,romatizm,rheumatism
3430,rromatizm,rheumatism
3431,roumatizm,rheumatism
3432,rroumatizm,rheumatism
3433,l7la9m,tonsils
3434,7la9m,tonsils
3435,7la9em,tonsils
3436,l7la9em,tonsils
3437,skhana,fever
3438,s5ana,fever
3439,sskhana,fever
3440,7kka,itching
3441,7ekka,itching
3442,chalal,paralysis
3443,gui7,pus
3444,gi7,pus
3445,lti8ab,inflammation
3446,ilti8ab,inflammation
3447,ltihab,inflammation
3448,lbbaser,piles
3449,lbbasr,piles
3450,l9ebT,constipation
3451,l9bT,constipation
3452,boul,urine
3453,lgholD,obesity
3454,gholD,obesity
3455,lghlD,obesity
3456,7ma9,insanity
3457,l7ma9,insanity
3458,ij8aD,abortion
3459,ijhaD,abortion
3460,jjdam,leprosy
3461,7bb chchbab,acne
3462,7ebb chbab,acne
3463,7ebb chchbab,acne
3464,7bbchbab,acne
3465,7ri9 rass,headache
3466,alam d rass,headache
3467,mheress,fractured
3468,m8aress,fractured
3469,mharres,fractured
3470,thrisa,fracture
3471,tehrisa,fracture
3472,te8rissa,fracture
3473,boumzwi,Irritable bowel syndrome
3474,bomzwi,Irritable bowel syndrome
3475,insan,human
3476,bnadm,human
3477,bnadem,human
3478,rjl,foot
3479,rjel,foot
3480,yedd,hand
3481,yed,hand
3482,idd,hand
3483,3in,eye
3484,3ain,eye
3485,3ayn,eye
3486,nif,nose
3487,mnaker,nose
3488,menkher,nose
3489,mnkhr,nose
3490,men5ar,nose
3491,fom,mouth
3492,fomm,mouth
3493,fmm,mouth
3494,dmagh,brain
3495,kbda,liver
3496,kebda,liver
3497,riyya,lung
3498,ria,lung
3499,riya,lung
3500,rya,lung
3501,klwa,kidney
3502,kalwa,kidney
3503,kelwa,kidney
3504,m3da,stomach
3505,me3da,stomach
3506,ma3da,stomach
3507,3Dm,bone
3508,3Dam,bone
3509,mSarn,intestine
3510,mSaren,intestine
3511,mSaran,intestine
3512,9lb,heart
3513,9alb,heart
3514,9elb,heart
3515,qalb,heart
3516,wdn,ear
3517,oden,ear
3518,wden,ear
3519,wdan,ear
3520,ras,head
3521,jasad,body
3522,jassad,body
3523,3oDw,organ
3524,jld,skin
3525,jelda,skin
3526,jeld,skin
3527,jmjoma,skull
3528,jomjoma,skull
3529,jmjouma,skull
3530,ch3r,hair
3531,ch3er,hair
3532,ch3ar,hair
3533,mostach,mustache
3534,l7ya,beard
3535,le7ya,beard
3536,la7ya,beard
3537,wjh,face
3538,wjeh,face
3539,wjah,face
3540,7ajb,eyebrow
3541,hajb,eyebrow
3542,chfar,eyelashes
3543,dfal,saliva
3544,ddfal,saliva
3545,chwarb,lips
3546,chouarb,lips
3547,chwareb,lips
3548,lsan,tongue
3549,lisan,tongue
3550,lissan,tongue
3551,snna,tooth
3552,senna,tooth
3553,3ng,neck
3554,3ong,neck
3555,3eng,neck
3556,3on9,neck
3557,9rjoTa,throat
3558,9arjoTa,throat
3559,ktf,shoulder
3560,ktef,shoulder
3561,ktaf,shoulder
3562,Sdr,chest
3563,Sdar,chest
3564,Sder,chest
3565,dra3,arm
3566,7nk,cheek
3567,7ank,cheek
3568,7enk,cheek
3569,jb8a,forehead
3570,jab8a,forehead
3571,jeb8a,forehead
3572,jbha,forehead
3573,rmouch,eyelashes
3574,7la9m,tonsils
3575,7la9em,tonsils
3576,hlaqem,tonsils
3577,baT,armpit
3578,mrf9,elbow
3579,mrfg,elbow
3580,marfa9,elbow
3581,merfeg,elbow
3582,Sb3,finger
3583,Sbe3,finger
3584,Dfr,fingernail
3585,Dfer,fingernail
3586,krch,abdomen
3587,kerch,abdomen
3588,karch,abdomen
3589,rjl,leg
3590,rjel,leg
3591,fkhD,thigh
3592,fkheD,thigh
3593,rkba,knee
3594,rokba,knee
3595,gdm,heel
3596,gdem,heel
3597,D8r,back
3598,D8ar,back
3599,D8er,back
3600,Dhar,back
3601,Dl3a,rib
3602,Dal3a,rib
3603,Del3a,rib
3604,dm,blood
3605,dem,blood
3606,dam,blood
3607,3r9,vein
3608,3ar9,vein
3609,3er9,vein
3610,3aDala,muscle
3611,3amoud lfi9ari,backbone
3612,3amoud fi9ari,backbone
3613,3amod fi9ari,backbone
3614,chchouf,sight
3615,ssm3,hearing
3616,ssem3,hearing
3617,ssam3,hearing
3618,chchmm,smell
3619,chchemm,smell
3620,chchamm,smell
3621,ddou9,taste
3622,llms,touch
3623,llems,touch
3624,llams,touch
3625,tanffous,breathing
3626,tanffos,breathing
3627,tanaffos,breathing
3628,tgrr3,to burp
3629,tgerre3,to burp
3630,tgarra3,to burp
3631,tgarre3,to burp
3632,tfww8,to yawn
